country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,368.3917434,401.8194234,436.0979809,399.7788781,389.1465096,415.4462099,378.8998605,394.6358309,466.8532324,613.3297766,693.7640956,747.5726265,853.7646228,1055.334825,927.168311,1142.876773,1390.557034,1538.194473,1567.178619,1459.597907,1345.383143,1204.61644
Austria,240.4576225,236.7204965,212.3234638,217.6836261,216.725261,196.4217063,196.9536286,212.9706851,260.7214786,299.8572386,314.6489864,334.3093715,386.4589515,427.6115278,397.5942762,390.2118665,429.0373615,407.4515831,428.2484205,438.3761785,376.9674061,386.4277938
Belgium,289.5675972,281.3576547,254.8139378,260.6023561,260.2024291,237.9049198,237.8416107,258.8603426,319.003386,370.8852744,387.3659993,409.8130724,471.8217903,518.6260437,484.5526535,483.5486934,527.0080368,497.8840881,520.1171405,531.7509032,454.9913187,466.3657274
Canada,604.0316234,628.546388,652.8253647,631.8132794,676.0826546,742.2934483,736.3797779,757.9506786,892.3809864,1023.196003,1169.35798,1315.415197,1464.97719,1549.131209,1371.153005,1613.464423,1788.647906,1824.288757,1842.628006,1792.883226,1552.807652,1529.760492
Chile,73.44706332,78.03957222,84.95236092,81.57743018,75.1737945,77.86093215,70.97992396,69.73681144,75.64345984,99.21039286,122.964812,154.7880248,173.6059682,179.6384963,172.3894984,218.5375512,252.251992,267.1223201,278.3843327,260.9902991,242.5179052,247.0279126
Czech Republic,59.53711379,66.77504679,61.62136498,66.37259458,64.71946125,61.47426513,67.37562343,81.69665166,99.30032968,118.9760232,135.990216,155.2130061,188.8181554,235.2048126,205.7297907,207.016402,227.9483497,207.376427,209.402445,207.8183307,185.1563596,192.924594
Denmark,185.0069613,187.6324004,173.537588,176.992001,177.9652246,164.1588005,164.7914164,178.6351603,218.0959971,251.3730367,264.4673081,282.8849129,319.4233701,353.3610561,321.241396,321.9953503,344.0032097,327.1489,343.5843856,352.2969698,301.3078288,306.1429372
Estonia,4.373665146,4.746109767,5.066240419,5.617109245,5.726897998,5.685774809,6.245069734,7.322069511,9.833870709,12.05920124,14.0060883,16.96362502,22.23706173,24.19403926,19.65249264,19.49093635,23.1702399,23.04386451,25.08118583,26.21394039,22.46047049,23.13674198
Finland,134.1993464,132.0994046,126.8331234,133.9363596,135.2258683,125.5398931,129.2501119,139.5529832,171.0711061,196.7680656,204.4360154,216.5525028,255.3846154,283.742493,251.4990275,247.7998158,273.6742368,256.7064661,269.9801116,272.6092887,232.3616899,236.7850467
France,1609.892233,1614.245416,1460.709148,1510.758283,1500.275943,1368.438364,1382.218345,1500.337851,1848.124153,2124.112242,2203.678647,2325.011918,2663.11251,2923.465651,2693.827452,2646.837112,2862.680143,2681.416109,2808.511203,2849.305323,2433.562016,2465.453975
