year,depreciation,intrec_tot,intrec_fin,intrec_mgt,intpaid_tot,intpaid_fin,intpaid_mgt,sec199,netinc,taxinc,taxbc,amt,ftc,gbc,pymtc,rev
1998,488.236426,1083.800608,537.124828,349.403995,922.873543,334.419352,224.520654,0,532.246228,662.258313,227.627553,3.32391,37.396469,5.601384,3.432848,181.058075
1999,523.447216,1138.940141,606.620034,322.278306,970.360351,380.055229,195.016881,0,535.289061,692.591483,238.356683,3.049829,38.389989,4.76155,3.430138,192.473386
2000,549.062375,1374.54623,693.563693,429.55589,1215.956519,461.279703,289.710634,0,517.937235,758.97863,261.735057,3.873324,48.505841,5.591686,5.16898,203.407571
2001,578.842327,1325.563358,632.394811,457.053813,1146.587823,409.941488,285.989841,0,270.774336,634.365683,218.368883,1.80052,41.063165,6.741239,3.254136,166.334324
2002,628.116337,1103.169509,529.873747,361.954366,867.309589,281.572444,182.929856,0,258.673938,599.636805,206.743387,2.532133,42.021526,8.561583,2.027542,153.173491
2003,605.147149,1020.943375,481.503314,339.679108,773.826243,238.752925,154.96664,0,455.433845,698.382842,240.931161,2.298661,50.03359,9.627528,3.354928,176.95611
2004,598.365643,1213.114555,593.620759,409.980444,889.548603,327.737931,181.362458,0,709.985922,856.399328,295.838115,3.437589,56.87218,10.724891,3.73738,223.995469
2005,457.736155,1531.979942,754.649745,526.561282,1219.112012,492.020233,291.939062,9.339228,1380.20046,1199.826055,415.756958,3.338023,82.051187,13.499478,7.134046,311.358477
2006,480.43816,1992.183498,981.962577,703.502457,1694.417065,717.076982,474.061924,11.109676,1247.874961,1289.76092,449.560411,3.681078,78.183457,15.187647,5.876907,352.322015
2007,508.353988,2272.465561,1156.006153,779.979122,1980.614142,869.932346,527.849684,21.108869,1060.790902,1245.87351,432.630371,3.202893,86.579853,15.78085,3.166741,330.313014
2008,644.373647,1864.484861,935.76706,666.02068,1563.659053,644.367808,385.653276,18.424096,388.739523,976.715067,339.14832,2.308576,100.433672,11.303518,1.934185,227.842716
2009,612.479758,1306.760707,616.04655,508.641762,1001.592651,344.514849,206.491192,14.228154,443.166636,894.378919,309.930112,3.116572,93.565021,13.333927,1.384446,204.726424
2010,630.145366,1142.182312,570.572374,423.724792,825.78706,275.965686,125.48023,24.417324,800.837632,1021.453151,354.687864,3.222732,118.076558,15.448635,1.540658,222.673325
2011,754.952047,1122.301491,565.541406,407.461655,800.83517,255.094802,124.17373,27.405248,737.025579,993.385375,345.142747,3.437773,107.103753,19.364719,1.55901,220.540823
2012,616.292647,1037.45499,516.380777,385.190474,753.928512,233.356305,97.491295,32.014203,1051.906039,1148.142603,398.808059,3.464907,109.608973,22.286033,2.821052,267.505564
2013,628.323832,938.363608,440.042219,374.52916,651.415185,153.476978,88.52639,33.933968,1160.886414,1258.223966,437.272973,4.196871,118.279104,27.750573,2.01807,293.205359
