items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,91.377138,1.7161660000000003,0.4737859999999998,1.5478170000000002,0.18852900000000006,12.099405000000004,3.9665269999999992,0.9341640000000009,5.770381,8.151369000000003,1.6845599999999994,3.5484160000000005,3.625922,3.021408000000001,0.7785409999999997,16.078204,1.1248460000000002,4.818788999999999,9.250181999999999,2.3982810000000008,0.21681799999999996,1.44721,1.5862350000000003,2.678135,1.2610070000000002
Inventories,119.55813400000002,2.9463230000000005,0.7294369999999999,0.48170899999999994,0.09960099999999997,31.021113999999997,12.236027,2.166295999999999,20.29723,37.338526,0.6022430000000001,0.5374899999999999,0.000418,0.0,0.0,0.04181900000000002,0.8332139999999999,1.106522,0.033356,0.3400620000000001,0.010825000000000001,0.08024399999999998,0.658026,0.8633220000000001,0.9685139999999999
Land,82.417296,6.651183,1.016717,0.618004,0.094497,12.329529,1.6793199999999997,0.312732,1.47784,4.56203,0.7433719999999999,0.8224820000000002,0.440105,0.304948,0.012498999999999996,41.453246,0.35810999999999993,0.766297,0.782332,0.5029840000000001,0.0008419999999999955,0.20398400000000005,1.592046,4.379992,1.027671
Total receipts,1237.125046,18.871761,5.573574999999998,9.370970999999997,0.42602799999999963,150.71319399999993,66.19245900000001,36.188579000000004,167.04981599999996,288.86868300000003,61.093142,27.332335999999998,4.8048210000000005,6.692475999999999,3.757998999999998,20.418555000000005,11.355828999999998,111.54379399999999,5.251801999999998,45.353050999999994,3.841712000000001,47.80736900000002,16.477508,56.10034399999998,29.382312999999996
Business receipts,1221.9825919999998,17.231525000000005,5.508725999999999,9.279845000000002,0.3753700000000002,149.502525,65.73714999999999,36.14500000000001,165.99877099999992,285.05629899999985,60.54675599999999,27.001691,3.7229220000000005,7.771870000000003,3.694303000000005,20.761159,10.957301,111.37240700000001,2.0198,45.126941999999985,3.7366980000000005,47.54445200000001,15.844629000000001,56.112053,28.759895
"Net gain, noncapital assets",2.5571189999999993,0.20499599999999998,0.012367000000000003,0.08251199999999997,0.000303,0.3184579999999999,0.30249699999999996,0.029086,0.2919879999999999,0.29317499999999996,0.19510000000000005,0.03681099999999998,0.073712,0.14871399999999996,0.009156000000000001,0.06605099999999997,0.238329,0.04489599999999999,0.116342,0.07779199999999997,0.0,0.048755999999999994,0.010709000000000003,0.037901000000000004,0.03187099999999998
Other receipts,12.090374999999995,1.4261090000000003,0.15318299999999996,0.005834000000000117,0.05031500000000001,0.8345560000000001,0.14264900000000003,0.00641399999999992,0.7406259999999998,3.5074489999999994,0.345583,0.2878299999999998,0.9827859999999999,-1.245675,0.052966999999999986,-0.45973700000000006,0.1564000000000001,0.12328700000000037,2.89049,0.13631099999999985,0.10452700000000004,0.21377799999999958,0.6179970000000001,-0.052570000000000006,0.5893120000000001
Total deductions,1346.2529239999994,22.821618,6.452927000000001,10.979897999999999,0.524089,169.45743500000003,74.126135,40.52169699999999,174.72643600000015,300.845562,64.634935,30.869100000000003,7.073553,10.045047000000004,4.288209999999999,29.099314999999997,12.966724,118.52005700000001,9.606760999999999,48.49330699999999,4.200715999999998,50.53428299999999,19.141264,62.26945699999999,31.93524099999999
Cost of goods sold,771.2363949999999,7.834035999999999,3.6508920000000007,6.082895999999998,0.060133000000000436,117.004481,45.494980999999996,28.126240999999993,132.313496,228.074928,24.622189000000006,10.839431999999999,0.0,0.0,0.031251,1.6181979999999998,5.1049359999999995,68.708749,0.017235,18.139128999999997,0.425643,3.940262999999998,4.735435,20.222128000000005,12.730886000000002
Compensation of officers,54.037768,0.28244899999999995,0.16453299999999993,0.2230390000000001,0.10372599999999998,6.049197000000003,2.8100429999999994,1.0131360000000003,4.130469999999999,4.769395000000001,5.8599049999999995,1.0403499999999997,0.3756679999999999,2.1137810000000004,0.6894840000000002,2.668111,0.356286,7.062001000000002,0.4438119999999999,1.9426869999999994,0.19144899999999998,6.278116999999998,0.6744149999999998,1.7083850000000003,2.0319520000000004
Salaries and wages,161.878538,1.9568329999999996,0.4060469999999998,0.9118660000000003,0.042511999999999994,12.222326999999996,7.169107999999998,3.2252089999999978,13.526246999999998,22.072508999999997,7.812695999999999,5.747696000000001,1.3867770000000004,3.6111320000000013,1.7408920000000006,9.708516000000001,1.207233,14.644109999999998,1.168743,14.809356000000001,1.360998,14.220503000000008,4.050509,11.395796,4.612128
Repairs,10.562650000000001,0.53372,0.12601799999999996,0.168603,0.008132,0.954758,0.4374370000000001,0.512318,0.7479580000000001,1.4604579999999996,1.397596,0.26890000000000003,0.06498700000000002,0.029179999999999998,0.04128399999999999,0.363772,0.371597,0.34016599999999997,0.08394499999999999,0.2866040000000001,0.04613499999999998,0.3839950000000001,0.32320099999999996,1.1866370000000002,0.33615000000000006
Bad debts,9.671519,0.024256,0.009231000000000001,0.10174400000000001,0.00010999999999999899,1.0818720000000002,0.421672,0.18886599999999998,0.9969609999999998,0.7451319999999999,0.184742,0.28416199999999997,1.402445,0.07135799999999999,0.024447999999999998,0.9587269999999999,0.10947700000000002,0.359764,2.1736050000000002,0.12462799999999999,0.009365999999999985,0.12017900000000004,0.0281,0.068192,0.04977000000000001
Rent paid on business property,48.85534299999999,1.3695719999999998,0.16581599999999996,0.258563,0.010873999999999995,3.6876040000000003,2.2770080000000004,0.897303,3.8315740000000016,9.083219,3.527214999999999,1.655207,0.24452600000000002,0.538351,0.293598,1.1932239999999998,0.7588229999999999,3.1718790000000006,0.10140999999999997,1.4194120000000003,0.529369,2.9346639999999997,1.3310790000000001,5.913553,2.907228000000001
Taxes paid,30.030181,0.39710199999999996,0.157673,0.303145,0.026904000000000004,3.291193,1.953741,0.7226389999999996,2.325991,4.498645999999999,1.8278889999999999,0.7578459999999998,0.20601900000000006,0.32459799999999994,0.16315499999999994,1.110118,0.386854,2.262067,0.21222200000000002,1.8239209999999995,0.20608499999999996,1.8622439999999996,0.726041,2.8785300000000005,1.0165259999999998
Interest paid,22.635243,0.8086770000000001,0.19062700000000002,0.24199699999999996,0.028465999999999998,2.6230650000000004,1.2209049999999997,0.4983049999999998,1.5193460000000005,2.4916279999999995,0.9947809999999999,1.0632009999999998,1.309342,0.19028699999999998,0.06669599999999998,1.2449160000000001,0.523365,0.752338,2.1985580000000002,0.563435,0.071989,0.5455059999999998,0.7113339999999999,1.713568,0.581722
Amortization,3.9788510000000006,0.019996,0.022881,0.103831,0.0034270000000000012,0.09405800000000003,0.15663300000000002,0.12475599999999998,0.25570399999999993,0.5316569999999999,0.101497,0.8465690000000001,0.064651,0.032792,0.07676899999999998,0.07622799999999999,0.045213,0.19571500000000003,0.05834400000000001,0.08736300000000002,0.025685999999999997,0.15175899999999998,0.19846399999999997,0.425832,0.191394
Depreciation,35.509643999999994,1.369026,0.541196,0.8905930000000002,0.046417,3.9979959999999997,3.1578310000000007,1.8074840000000005,2.4114880000000003,3.451878999999999,3.5673909999999998,0.9376550000000001,0.11274799999999996,0.25067300000000003,0.07506499999999999,1.007336,2.4152089999999995,1.175678,0.21626800000000002,0.977163,0.09041700000000003,1.07809,1.0736370000000002,3.1383499999999995,1.0560990000000001
Depletion,0.13285100000000005,0.0010469999999999993,3e-06,0.035563999999999985,0.0,0.0069599999999999974,0.004792999999999992,0.010449,0.0005359999999999998,0.004056,0.000535,0.0,0.0,8e-06,0.00011399999999999995,0.0,0.0,0.0,0.000116,0.00046399999999999995,0.0,0.0,0.0,1.000000000001e-06,0.0
Advertising,12.472771999999999,0.05265800000000001,0.028247,0.016114000000000003,0.0012439999999999999,0.713373,0.6602919999999999,0.18677600000000005,0.862787,3.56189,0.118587,0.5006099999999999,0.08796099999999996,0.06762400000000002,0.08256000000000002,0.5146949999999999,0.09975400000000001,1.3816320000000002,0.060968999999999995,0.317005,0.11007599999999995,0.3128590000000002,0.48484700000000003,1.4287799999999997,0.5005010000000001
"Pension, profit sharing, stock, annuity",4.849466,0.012996,0.010807,0.02185200000000001,0.009454,0.7970130000000002,0.33119199999999993,0.06794800000000012,0.3166650000000002,0.16729300000000003,0.12423599999999996,0.108049,0.014605999999999994,0.07968399999999998,0.049494999999999956,0.257315,0.089426,0.5819429999999999,0.037594000000000016,0.14596299999999995,0.008830000000000005,1.1427719999999995,0.11705499999999996,0.04330999999999999,0.10237200000000002
Employee benefit programs,13.940831000000003,0.12888099999999997,0.079755,0.14629999999999999,0.0030349999999999995,1.6764840000000003,1.7568979999999996,0.5014280000000002,1.2598179999999992,1.566967,0.9470900000000002,0.37694099999999997,0.075826,0.17452800000000002,0.09875099999999992,0.396365,0.14099000000000003,1.022081,0.191747,0.9481139999999999,0.08207900000000001,0.9966520000000001,0.204555,0.47649600000000003,0.30299700000000007
"Net loss, noncapital assets",2.519469,0.010385,4.0999999999999994e-05,0.011322000000000002,0.0,0.313821,0.08042099999999999,0.031168,0.087892,0.36177000000000004,0.018837,0.007364000000000001,0.059116,0.024448,9.599999999999886e-05,0.10883000000000001,0.023329000000000003,0.009966000000000003,1.028365,0.008260000000000002,0.0,0.0013480000000000002,0.042957,0.098635,0.157464
Other deductions,163.9414,8.019984999999998,0.8991580000000003,1.4624669999999993,0.17965600000000004,14.943234000000004,6.193179000000001,2.6076639999999998,10.139505,18.004135999999995,13.529747999999998,6.4351210000000005,1.668882,2.536601,0.8545510000000007,7.872964000000001,1.334233,16.851968999999997,1.6138240000000001,6.899802000000001,1.0425940000000002,16.565331,4.439636,11.571264,5.3580520000000025
Total receipts less total deductions,-109.12787700000001,-2.921724,-0.622409,-1.6089259999999994,-0.09806100000000001,-18.744241000000002,-7.684854,-4.333121,-7.676620000000003,-11.976878000000001,-3.541793,-3.5367650000000004,-2.2687310000000003,-3.3525709999999993,-0.5302120000000006,-7.890384,-1.6108949999999997,-6.976261999999998,-4.354959000000001,-3.140255,-0.3590040000000001,-2.7269140000000007,-2.6637560000000002,-6.169114,-2.5529290000000007
Net income,-109.622837,-2.858162,-0.6218759999999999,-1.611707,-0.098101,-18.801896000000003,-7.687060000000001,-4.341199000000001,-7.695050999999999,-11.988639,-3.547497,-3.542767,-2.294132,-3.3701380000000007,-0.5317850000000002,-7.79589,-1.6146949999999998,-6.979466000000002,-4.5801289999999995,-3.1522619999999986,-0.35948899999999995,-2.7272969999999965,-2.6679290000000004,-6.172073,-2.554162
