items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,168.880907,1.125999,1.10556,2.384824,0.0,27.986835,13.655738,8.489535,17.929152,22.265532,3.263872,3.875908,6.46734,2.906205,4.922491,5.211929,1.046691,15.369366,8.611065,4.644225,0.789878,5.416475,2.463304,5.089051,3.047637
Inventories,219.08517,1.301826,0.601562,0.495524,0.0,29.323545,25.894087,15.924077,52.364369,84.254461,0.493278,0.716572,0.004311,0.0,0.0,0.012311,0.602245,1.334095,0.000514,0.75868,0.054686,0.315709,0.568325,1.265416,1.483624
Land,31.266685,2.764164,0.190979,0.529487,0.0,5.740698,1.902478,1.195321,2.15342,4.133239,0.644985,0.382288,0.256414,0.037318,0.183919,3.769901,0.08662,0.361586,0.52928,0.641186,0.121504,0.461568,1.077453,3.084559,0.879605
Total receipts,3045.323758,22.072758,15.616476,15.092945,0.0,464.701959,228.337337,173.189801,561.475083,708.0563,74.699662,39.054139,26.460549,16.805099,30.101125,39.763091,11.473521,205.502669,15.447642,97.718846,7.745504,101.03327,25.411883,96.02125,59.332623
Business receipts,2984.321868,20.26114,15.018396,14.109765,0.0,460.050758,225.980129,171.649166,557.36897,697.832777,73.813685,37.263112,20.333622,15.149313,29.7504,37.961702,10.896136,201.171213,5.31417,96.871243,7.215452,99.229237,24.233837,94.3891,58.684853
"Net gain, noncapital assets",5.164833,0.118478,0.093887,0.126425,0.0,0.38029,0.285942,0.19464,0.27828,0.3212,0.360833,0.066969,1.40225,0.010708,0.010396,0.132014,0.301535,0.134225,0.276256,0.094274,0.032668,0.069061,0.085172,0.171662,0.213887
Other receipts,54.957176,1.686573,0.503714,0.843855,0.0,4.218164,2.008298,1.297621,3.777498,9.875318,0.521026,1.682373,4.633457,1.622959,0.335638,1.6574,0.274871,4.172652,9.50434,0.736362,0.495988,1.703113,1.087047,1.458701,0.428263
Total deductions,2828.963849,20.457703,14.546953,12.260308,0.0,434.800805,210.575452,161.125004,538.638024,685.953136,70.462074,33.804795,21.471788,13.006561,25.062782,32.43017,10.109494,177.583087,9.770018,89.857749,6.836441,85.747724,21.662788,88.943338,54.559422
Cost of goods sold,1843.33277,10.288965,9.869707,5.642227,0.0,337.845744,147.830529,114.95758,436.680097,549.554084,28.747262,11.230377,1.554843,1.075313,4.453195,6.245075,3.373325,57.491686,0.001144,38.348951,1.605151,8.32638,4.88436,35.272839,21.865158
Compensation of officers,116.009798,0.354446,0.433343,0.373768,0.0,14.557754,6.946253,4.440193,11.22665,10.899582,1.72553,2.928857,1.542993,2.065923,3.648464,2.442626,0.410012,21.811473,0.777428,4.141852,0.348214,15.415241,2.756914,2.823247,3.704425
Salaries and wages,310.598479,1.876422,0.995084,0.901529,0.0,22.844893,17.751851,12.467312,35.433907,48.896739,10.595261,7.127333,7.454816,4.330198,8.627489,10.271365,1.70212,37.837541,1.54344,22.159189,2.046682,22.91615,4.039348,17.266059,10.539872
Repairs,17.022194,0.404646,0.284791,0.23176,0.0,1.742613,1.009069,0.822005,1.768334,2.525864,1.486499,0.271764,0.151264,0.045896,0.17931,0.335959,0.20431,0.989779,0.147994,0.759843,0.10726,0.84789,0.393047,1.664298,0.593575
