items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,41.14859099999998,0.854239,0.4295850000000001,0.747541,0.07206999999999997,4.3254529999999995,1.8884240000000005,1.0878819999999996,2.692506,4.523105000000001,1.033458,1.997888,1.003991,1.8087319999999996,0.7463920000000002,6.86057,0.800583,3.3419750000000015,2.0806320000000005,1.1334779999999998,0.14003700000000008,0.6714730000000002,0.8933229999999999,0.4565460000000001,0.5100099999999999
Inventories,69.73009199999998,1.10847,0.168149,0.24426399999999993,0.010068999999999995,8.361278000000002,8.439270999999998,4.382920999999998,12.008677000000006,30.577447000000006,0.312258,0.38636799999999993,0.0,0.0,0.0,3.399999999999931e-05,0.624722,0.8736830000000002,0.001483,0.27742199999999995,0.012637999999999996,0.07737300000000003,0.3714509999999999,0.06503,0.7483050000000002
Land,40.772196,3.7377949999999998,0.877128,0.31540200000000007,0.07519299999999998,3.9538400000000005,0.5504229999999999,0.370525,0.778661,1.8805490000000002,0.413688,0.26694900000000005,0.04248299999999999,0.080365,0.023897,22.063872000000003,0.22550399999999998,0.36894199999999994,0.22915199999999997,0.23345099999999996,0.05378899999999999,0.24237400000000003,1.090864,1.5089400000000002,0.708681
Total receipts,765.980536,10.033964000000001,4.886603000000001,4.433274000000001,0.7358310000000001,83.70940299999995,61.80475200000001,41.85859000000002,105.31700599999999,215.18904599999996,29.937909999999995,14.065604,3.2538480000000014,7.729108999999998,4.606696999999997,8.166038,6.14714,46.456421000000006,-0.14586399999999955,26.824326,1.3657140000000005,27.697877000000005,10.627512999999997,5.892489000000001,18.398951000000004
Business receipts,760.4608129999997,9.334497000000002,4.583064,4.321000999999999,0.7750950000000003,83.131347,61.306145999999956,41.60164499999999,104.64792299999999,212.519904,29.589920999999997,15.585347999999996,2.916269999999999,8.964885000000002,4.465239999999998,7.621282000000001,5.840017000000001,45.962031999999994,0.2231569999999996,26.625923999999998,1.331131,27.66995700000001,10.360078999999999,5.842822999999999,18.358388000000005
"Net gain, noncapital assets",1.505464,0.10022600000000001,0.043445,0.09240299999999999,0.00017200000000000028,0.10178999999999999,0.10489799999999999,0.04938000000000001,0.061413999999999996,0.22293400000000002,0.14567399999999997,0.033530000000000004,0.014913000000000003,0.009797,0.0007369999999999998,0.081825,0.180668,0.069309,0.003872999999999998,0.04494999999999999,1.2000000000000075e-05,0.007772000000000001,0.05482100000000001,0.023819999999999997,0.025683999999999985
Other receipts,3.609300999999995,0.5930300000000002,0.25984700000000005,0.017827000000000037,-0.039729,0.44979000000000013,0.37744500000000025,0.19405099999999997,0.5898459999999996,2.4103130000000004,0.19822800000000002,-1.569917,0.3079369999999999,-1.3269199999999999,0.13340400000000002,0.4093399999999998,0.12235600000000002,0.4035730000000002,-0.42330500000000004,0.14479700000000006,0.027496999999999994,0.017209999999999948,0.20583699999999994,0.02491500000000002,0.014261000000000024
Total deductions,826.293506,12.418489000000005,5.439266,5.146535,0.882393,88.80492800000002,66.16624400000003,44.27216999999999,109.77771599999994,222.16059000000007,32.87134499999999,18.467351,4.050549999999999,12.319040000000001,5.014376000000002,10.80507,7.142918999999999,51.741434999999996,0.8114069999999991,28.675017999999994,1.5064380000000002,29.219577,12.939877,6.844957999999998,19.696200000000005
Cost of goods sold,489.1451890000001,4.494052999999999,2.831212,1.9274119999999995,0.5184340000000001,65.10766699999999,46.237819,30.616380000000007,85.67446999999999,172.63222300000007,10.304003999999999,7.234872000000001,1.036356,0.524267,0.7285959999999996,1.4518989999999992,2.175517,16.606798000000005,0.0034259999999999846,12.858989999999999,0.15147,3.189711999999999,2.162987,0.9576849999999997,7.739582000000002
Compensation of officers,32.643388999999985,0.13841299999999995,0.13712499999999994,0.22259000000000007,0.025204000000000004,3.0675950000000007,1.9286030000000007,1.3972140000000008,2.3645680000000002,3.334467,0.7260769999999999,0.759242,0.19400399999999995,3.4857950000000004,0.524543,1.1597460000000002,0.15929700000000002,4.849744999999999,0.03374699999999997,1.0128839999999997,0.06700600000000001,3.0224469999999997,1.689334,0.12367599999999995,1.3531560000000002
