items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,152.744306,1.150152,0.829406,2.680178,0.63474,26.144238,12.944759,6.711999,15.754392,20.927383,2.73752,3.146171,4.700483,2.487926,3.863348,4.385437,0.999004,14.445833,7.397902,4.271292,0.770838,4.823519,2.175043,1.301547,2.975035
Inventories,197.687522,1.42486,0.392716,0.433028,0.018323,25.486227,24.203352,13.638189,47.141514,76.792938,0.456019,0.801557,0.0,0.0,0.0,0.000404,0.457074,1.184314,0.014377,0.557795,0.057363,0.333168,0.388313,0.074911,1.567216
Land,30.778341,3.380724,0.228909,0.390047,0.057851,5.363145,1.96398,0.885134,2.002976,4.211982,0.664033,0.353155,0.194441,0.043423,0.137508,3.878184,0.168764,0.439291,0.431189,0.559275,0.08828,0.517824,1.035543,1.584054,0.725145
Total receipts,2961.58644,21.314543,11.298158,19.055247,4.762773,461.322136,219.554686,146.797034,539.845928,718.576537,59.914774,37.190857,20.374695,18.802397,25.27669,43.123019,12.679682,197.018285,15.485894,97.735721,8.251486,95.289344,22.427998,9.829115,61.835236
Business receipts,2898.5289,18.563884,10.762264,17.62673,4.502476,457.297347,217.621553,145.741765,535.622166,708.00127,59.011361,35.356052,16.094907,16.67738,24.900939,37.920018,11.932876,192.771819,4.779557,96.511077,8.16386,93.888578,21.371611,9.656931,61.403989
"Net gain, noncapital assets",4.609681,0.212966,0.054925,0.290008,0.162291,0.53866,0.302778,0.119129,0.333735,0.519113,0.326419,0.181534,0.156668,0.033895,0.007266,0.091279,0.424615,0.098512,0.113612,0.082327,0.02767,0.01556,0.081483,0.007495,0.100923
Other receipts,57.486974,2.526927,0.480791,1.124199,0.097353,3.405674,1.564364,0.903422,3.820586,10.022523,0.570573,1.611409,4.03481,2.060932,0.305575,5.097719,0.321254,4.121441,10.281718,1.107935,0.054868,1.381399,0.968246,0.162904,0.323177
Total deductions,2754.778877,19.277082,10.423866,14.566896,4.399141,432.010113,201.882611,137.301837,518.703117,696.801386,56.081116,32.29952,16.627191,14.585092,21.111424,36.004891,11.27754,170.838636,10.03772,89.934709,7.35653,81.911899,18.864985,8.83001,56.723886
Cost of goods sold,1813.891599,7.566672,5.917419,7.364882,3.577275,340.399354,141.798981,97.754947,422.469789,561.669581,22.629762,11.81929,1.725319,0.987684,3.479621,7.521145,3.975977,52.3829,0.121941,39.180083,1.838743,8.773824,4.09162,1.607394,23.557439
Compensation of officers,112.269002,0.369181,0.400818,0.366575,0.072243,13.693865,7.207655,3.818835,10.924997,11.107772,1.48797,2.495041,1.12559,3.331472,3.365439,2.736868,0.377977,21.292544,0.817112,4.202319,0.437999,13.888656,1.811857,0.279615,4.034767
