items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,50.57307,0.9210110000000002,0.40256899999999995,0.8610850000000001,0.0,6.047803000000002,2.9953290000000017,1.726725,4.092743000000002,5.844739000000001,1.2211020000000001,1.3053170000000005,0.7595270000000003,1.7558870000000004,0.5030640000000002,8.749501,0.9601009999999999,3.453029000000001,2.7902070000000005,1.1018940000000006,0.19085400000000008,1.1933619999999996,0.968553,1.7595329999999993,0.8613710000000001
Inventories,72.05734799999999,1.7794040000000002,0.20009999999999994,0.13071300000000002,0.0,10.071689000000003,9.620966000000003,4.407405999999998,12.879522000000001,29.678164999999993,0.41574200000000006,0.7169240000000001,0.0,0.0,3e-05,0.002586999999999999,0.4958759999999999,0.588943,0.006032,0.11102800000000002,0.007600000000000003,0.101221,0.405467,0.5930499999999999,0.8123750000000001
Land,49.040842,4.757973,0.762027,0.4091429999999999,0.0,5.515532,1.0567410000000002,0.43289199999999983,0.776694,2.475143,0.40552,0.251875,0.08793100000000004,0.144123,0.004238999999999993,25.613447,0.255355,0.31674699999999995,0.22591000000000006,0.36337299999999995,0.014900999999999998,0.358788,1.4493600000000002,2.59113,0.7550240000000001
Total receipts,865.6029429999999,14.391427,3.8044719999999987,4.8873,0.0,112.53019100000006,68.86999600000001,46.841013000000004,122.10278799999992,222.3526760000001,33.015041,11.427165000000002,1.999492,3.5251020000000004,2.657039000000001,17.557257,10.372001,58.54649500000002,-0.24450099999999964,31.760319999999993,2.9696029999999993,29.49457299999999,10.185872999999997,38.238308,24.0929
Business receipts,856.9592379999999,13.025816000000003,3.712593000000002,4.78445,0.0,112.06501100000003,68.30099599999997,46.46701299999998,120.83395900000005,219.191776,32.68870799999999,14.374769999999998,1.8257540000000034,3.475608000000001,2.6066509999999994,17.139067999999995,9.975661999999998,57.29798500000001,0.19891300000000012,30.60572099999999,2.965718,29.378451999999996,10.104957999999996,37.675663,23.88082500000001
"Net gain, noncapital assets",1.9213940000000003,0.153519,0.016434000000000004,0.03565199999999999,0.0,0.172759,0.10783100000000001,0.156386,0.215914,0.15018400000000004,0.18587899999999996,0.022932999999999995,0.00518900000000011,0.021075999999999998,0.020322,0.185779,0.19728099999999998,0.02441299999999999,0.021276000000000017,0.027440000000000006,0.001794999999999998,0.004030000000000006,0.067406,0.07113799999999998,0.05642900000000001
Other receipts,6.365414000000001,1.199512,0.07240999999999997,0.06364000000000003,0.0,0.261914,0.44825099999999996,0.20629000000000008,1.0313339999999998,3.004555,0.13847900000000002,-2.97949,0.15964199999999984,0.011959000000000053,0.024253999999999998,0.20396199999999998,0.18918100000000004,1.2131239999999996,-0.5990649999999995,1.125832,0.0008640000000000314,0.10945999999999989,0.005038999999999794,0.490294,0.15384400000000004
Total deductions,930.1146049999998,17.019792,4.3762409999999985,5.66474,0.0,119.26439099999999,73.91401299999998,49.807152,126.36197000000004,229.45869200000004,35.73535,16.820514000000003,2.4416949999999993,5.37354,2.9149470000000015,20.744545000000002,11.683000000000002,64.30975899999999,0.8736789999999992,33.545255,3.272761,31.099959,12.627462000000001,41.908092999999994,25.904508000000007
Cost of goods sold,543.4913500000002,5.739127000000002,2.1153969999999997,2.4805709999999994,0.0,84.64333499999998,49.483722,33.53183800000001,97.64464700000002,174.29102899999998,10.904584,6.701165,0.20711000000000013,0.10852600000000012,0.26574600000000004,3.6479180000000007,3.434905,23.876583999999994,0.020996,17.669639000000004,0.48929500000000004,3.0429770000000005,2.79507,14.092945,10.062721
Compensation of officers,35.978976,0.21754999999999997,0.15637300000000004,0.12721099999999996,0.0,4.597640000000002,2.360946000000001,1.3711910000000005,2.8493060000000003,3.797091,1.0469819999999999,0.6681000000000004,0.17042000000000002,1.1881589999999997,0.2553489999999998,2.430145,0.29178,6.581194,0.06906900000000005,1.5033599999999998,0.44870999999999994,2.1963719999999984,0.7030509999999999,1.045957,1.8007759999999995
Salaries and wages,108.39495199999999,1.6201009999999998,0.309605,0.31752099999999994,0.0,7.041083,5.76455,4.0777350000000006,9.138055000000001,17.58603500000001,5.517534999999999,2.9310229999999997,0.6224420000000004,1.6640749999999995,0.8687449999999988,5.846536,1.547852,12.922069999999998,0.103402,6.0578189999999985,0.733673,10.676929000000005,2.4445479999999993,7.522925000000001,3.757498
Repairs,7.5881609999999995,0.538977,0.170373,0.12793800000000002,0.0,0.6993309999999999,0.370441,0.281173,0.49759700000000007,1.069626,1.0261639999999999,0.076789,0.011498999999999981,0.020468000000000007,0.01497699999999999,0.254405,0.250381,0.2579500000000001,0.005865000000000009,0.24586099999999989,0.020958000000000004,0.283334,0.21903299999999998,0.837081,0.34062500000000007
Bad debts,3.216785,0.017189,0.041521,0.004213999999999999,0.0,0.521876,0.264855,0.21067799999999998,0.5942049999999999,0.32239300000000004,0.116694,0.05437699999999998,0.10551900000000003,0.013403000000000002,0.036625000000000005,0.10467,0.058453000000000005,0.31622999999999996,0.07213399999999998,0.086456,0.001577999999999996,0.08586300000000002,0.077067,0.07003799999999999,0.08940499999999998
Rent paid on business property,31.08348000000001,1.0103360000000001,0.11558200000000002,0.21797900000000003,0.0,2.5030519999999994,1.8830090000000004,1.3196090000000003,2.0281029999999998,5.8653619999999975,2.14787,0.6903349999999999,0.12746400000000002,0.181863,0.15642500000000004,0.8022810000000002,0.970212,2.2953079999999995,0.023395,0.9430710000000002,0.21920399999999995,1.71042,0.9911300000000001,3.159071999999999,1.9471309999999997
Taxes paid,21.228057,0.328144,0.101327,0.20841600000000005,0.0,2.446415,1.8066879999999994,1.10662,1.510228999999999,3.312403999999999,1.1664090000000003,0.44034099999999987,0.06687900000000002,0.10673899999999997,0.10895900000000003,0.6365040000000001,0.31238499999999997,1.7511739999999998,0.041128,1.1647029999999998,0.17191800000000002,1.2699569999999998,0.4614879999999999,1.8627400000000005,0.9560299999999997
Interest paid,14.390952000000002,0.5931170000000001,0.119595,0.15570099999999998,0.0,1.305924,1.2264159999999997,0.8397589999999999,1.188469,2.050842,0.849611,0.329852,0.240259,0.42360300000000006,0.016666999999999987,0.757326,0.5077910000000001,0.5043280000000001,0.23696499999999965,0.344156,0.02962,0.455457,0.475355,1.2652430000000001,0.44223100000000004
Amortization,2.168372,0.022059999999999996,0.006156,0.019625999999999998,0.0,0.05482400000000001,0.16499099999999997,0.10465100000000002,0.11953100000000005,0.45058600000000004,0.052497,0.235346,0.01341400000000001,0.019216000000000004,0.019306000000000004,0.064987,0.028512000000000003,0.128521,0.008198999999999998,0.06245700000000001,0.00585,0.05130299999999999,0.19624000000000003,0.22869600000000007,0.10194
Depreciation,29.928256000000005,1.3715039999999998,0.408481,0.4805880000000001,0.0,3.1536169999999997,2.9530659999999997,2.0357400000000005,1.6973630000000002,3.62723,3.142268,0.6589769999999999,0.09845999999999999,0.17705400000000002,0.05160600000000004,0.661659,2.507187,1.215344,0.024806999999999968,0.8995099999999998,0.079484,0.6899219999999999,0.875737,2.138168,0.9974940000000001
Depletion,0.08960099999999999,0.009705,0.010525,0.025063000000000002,0.0,0.008088000000000001,0.011236999999999997,0.0019710000000000005,0.013325,0.0,0.00010400000000000003,0.0,0.0,0.0,0.0,0.000168,0.0,0.000152,0.0,0.009261,0.0,0.0,0.0,0.0,0.0
Advertising,8.624760000000002,0.048073000000000005,0.0062349999999999975,0.004829,0.0,0.42716,0.4726699999999999,0.3508880000000003,0.6985570000000001,2.7096420000000006,0.09490999999999997,0.25801799999999997,0.09056999999999998,0.005384,0.040371999999999963,0.42647999999999997,0.17128000000000004,0.5254509999999999,0.004308999999999993,0.24107699999999987,0.132873,0.253378,0.32022100000000003,1.040407,0.3849799999999999
"Pension, profit sharing, stock, annuity",3.605036000000002,0.02166,0.010144999999999998,0.006379999999999997,0.0,0.397362,0.25606299999999993,0.13134900000000005,0.24716800000000005,0.18286200000000008,0.05736000000000002,0.10109399999999999,0.0029840000000000005,0.03967599999999999,0.03145600000000004,0.293738,0.05427799999999999,0.6799219999999999,0.01675,0.06232199999999999,0.090309,0.7919880000000001,0.03649999999999998,0.04661400000000002,0.05305299999999999
Employee benefit programs,9.518239999999999,0.09192800000000004,0.024608999999999992,0.06711500000000001,0.0,1.4662760000000006,1.4078769999999996,0.6458789999999999,0.8233519999999999,1.1377540000000002,0.531558,0.18876099999999996,0.024791000000000007,0.08160799999999999,0.050927,0.21369099999999996,0.116501,0.7980209999999999,0.01150000000000001,0.397313,0.066725,0.6012010000000001,0.136529,0.3013579999999999,0.35440000000000005
