items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,82.32174600000002,1.467809,0.5248539999999999,2.004294999999999,0.444693,10.453647000000004,3.1847819999999984,1.8783329999999978,5.4127089999999995,6.353966999999997,2.1872429999999996,1.9414060000000006,1.8181830000000012,2.3915549999999968,0.8728460000000009,16.379725999999998,0.0,6.739438,6.701746,2.828975999999999,0.46113099999999996,2.5764999999999993,1.1788529999999993,1.9335900000000006,1.3727329999999993
Inventories,82.61850499999997,4.315719,0.3728739999999999,0.636585,0.04549799999999998,12.951555000000003,8.603007999999996,5.899528999999998,17.429817000000014,27.31067300000001,0.54952,0.21540499999999985,0.0,0.014638,0.0,0.06951299999999999,0.0,0.8891240000000007,0.001268,0.3550770000000001,0.03495999999999999,0.138942,0.641117,0.5190440000000001,0.9321299999999999
Land,68.993556,5.075484,0.9855740000000001,0.604708,0.051972000000000004,7.502448,0.7714590000000001,0.48612199999999994,1.4120499999999998,2.746471999999999,0.47414100000000015,0.361464,0.242222,0.15608900000000003,0.020214999999999983,41.080247,0.0,0.7956469999999998,0.563982,0.4483759999999999,0.0033420000000000116,0.42069599999999996,1.121687,2.5165570000000006,0.9659230000000001
Total receipts,1079.1679629999999,23.03378,7.281453000000003,8.01005,1.8466110000000002,166.117344,53.851477999999986,50.77395100000001,193.71287900000016,208.73388,50.36285799999999,12.784618000000009,5.613309000000001,2.075001999999998,3.9311289999999985,14.503465999999989,0.0,75.20115499999997,0.948242999999998,48.64707899999999,4.146372000000003,52.449048000000005,16.466365999999994,43.619508999999994,26.435964000000013
Business receipts,1064.9618339999997,19.334458000000005,7.204715000000004,7.887059000000001,1.887861,165.30198300000006,53.220579999999984,50.629606000000024,192.37875799999983,205.8163579999998,49.20093299999999,12.640837000000005,4.736170999999999,3.1349019999999967,3.7140330000000006,14.27064399999999,0.0,74.880042,0.6578360000000014,48.594900000000024,4.132576999999998,52.09241999999995,15.875964000000003,43.290842999999995,25.738612999999987
"Net gain, noncapital assets",2.6945679999999985,0.19518600000000003,0.031837000000000004,0.065079,6.799999999999992e-05,0.34236999999999995,0.13673000000000002,0.04536000000000001,0.3051269999999999,0.25325,0.2983009999999999,0.01430200000000001,0.19755000000000011,0.013358999999999954,0.028247999999999995,0.06587200000000004,0.0,0.048924999999999996,0.05284699999999998,0.07985800000000001,0.001861999999999999,0.017413000000000012,0.06378,0.092561,0.086979
Other receipts,11.160010999999997,3.4975389999999997,0.04401699999999997,0.05015599999999987,-0.041333,0.4513409999999993,0.4879789999999993,0.09662799999999994,1.0182409999999988,2.656963000000001,0.8612819999999999,0.1262509999999999,0.662998,-1.0981260000000002,0.1886350000000001,0.12152299999999983,0.0,0.26994900000000044,0.0673930000000027,-0.03388300000000033,0.011584999999999998,0.3334740000000007,0.525701,0.2354839999999998,0.608911
Total deductions,1153.3932730000006,25.991079999999997,7.947510000000001,9.511181999999998,1.9852910000000001,176.392341,57.59249399999999,52.87199099999998,199.0977949999999,215.3542420000001,53.563985,14.890783000000013,7.513408999999999,5.025971999999996,4.439126000000002,19.371749,0.0,82.26621399999999,4.039564,50.81275500000001,4.5717,56.271101999999985,18.762136000000005,46.890547,28.460319
Cost of goods sold,681.4930659999995,9.112704,3.8846620000000023,3.9722310000000007,1.461563,129.51932599999998,39.568164000000024,39.318443,165.67746599999998,168.06863899999996,22.73017399999999,3.945459999999997,0.0,0.0,0.0,0.7813559999999997,0.0,27.654053000000005,1.2e-05,23.437375000000003,0.5343489999999997,6.2816030000000005,4.671515999999999,15.997062,10.655515000000001
Compensation of officers,38.335238000000004,0.286694,0.19235299999999994,0.2721990000000001,0.021094,5.642880999999999,1.4926860000000008,1.056178,3.0076709999999984,3.015530000000002,0.8977480000000009,0.5299479999999992,0.32462900000000006,0.5718059999999996,0.5503460000000002,1.5975720000000004,0.0,7.840961,0.27573199999999987,1.598402,0.29779199999999983,5.600375,0.4611710000000002,1.0532009999999996,1.511958
