items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,52.85565599999998,0.8319509999999999,0.3651270000000002,0.580371,0.18579299999999999,6.300248999999997,3.041292999999998,1.5034199999999993,3.6989780000000003,4.736956000000003,1.1289329999999995,1.7387960000000007,0.8130939999999995,2.3145040000000003,0.5629720000000002,11.361667,0.822004,3.4307169999999996,2.6487539999999985,1.2350250000000003,0.09766799999999998,1.1348589999999996,1.2482669999999998,1.791334,0.7749869999999999
Inventories,71.62141,1.042624,0.228535,0.08222799999999997,0.13374699999999998,10.904997000000002,9.866162000000003,4.2678139999999996,12.333920000000006,28.715383000000003,0.25603699999999996,0.33481799999999995,0.0,0.0,0.0,0.003259000000000012,0.180759,0.6442669999999999,0.0022250000000000013,0.11381300000000005,0.007469000000000003,0.06300699999999998,0.5040209999999999,0.8197530000000002,0.878287
Land,48.62482200000001,4.171578,0.7999289999999999,0.148173,0.063047,5.616817999999999,0.849002,0.5699480000000001,0.5419900000000002,2.0091800000000006,0.444547,0.312306,0.06288099999999999,0.0616,0.006477999999999998,26.483615,0.261371,0.582426,0.254051,0.22957799999999995,0.051664,0.41454499999999994,1.1982970000000002,2.7300509999999996,0.759224
Total receipts,909.8366930000002,12.318217,4.457428,4.807447,0.8150209999999998,133.188828,75.42470800000001,48.85196500000001,117.92902000000004,201.73200899999995,39.53729799999999,15.443488000000002,2.7418600000000026,7.157691,4.495483,13.003858000000001,8.135126000000001,59.67603799999998,-0.10579800000000006,34.192606999999995,2.9933770000000006,41.007086,9.912343999999997,46.841297,24.892353999999997
Business receipts,898.7420189999998,11.244491000000004,4.255186999999999,4.749272999999999,0.7924069999999999,132.650438,74.77906200000001,48.70286300000001,117.00931600000001,198.78596700000003,39.107945000000015,15.439768999999998,2.5710099999999976,6.888978,4.496750000000002,12.524097000000005,7.747676,59.035957000000025,0.19994699999999987,33.29360599999998,2.972740999999999,40.54523999999999,9.679613000000003,46.22614,24.536403000000007
"Net gain, noncapital assets",1.7161520000000001,0.106279,0.01851,0.011861999999999984,0.0006280000000000001,0.209652,0.20529599999999998,0.037728999999999985,0.1357,0.23093000000000002,0.16218299999999997,0.03301499999999999,0.004068999999999989,0.008289999999999999,0.002253,0.04437799999999997,0.23774500000000004,0.01730100000000001,0.01711600000000002,0.07236399999999998,2.099999999999845e-05,0.0074719999999999925,0.018991000000000008,0.072846,0.061282
Other receipts,8.923291999999996,0.9582159999999997,0.18366400000000005,0.044001999999999875,0.021959999999999993,0.20525600000000033,0.3881430000000001,0.10386300000000004,0.7753559999999995,2.712791000000001,0.26320200000000005,-0.03286800000000012,0.15306200000000025,0.23977999999999988,-0.0036289999999999933,0.40644100000000005,0.14126699999999998,0.6176590000000002,-0.4662089999999992,0.8250709999999999,0.020602999999999996,0.4532479999999999,0.212623,0.541074,0.294053
Total deductions,974.4814139999999,14.868515999999996,5.090943999999999,5.527087999999999,0.9556849999999999,141.59745199999998,80.544466,51.47887800000001,122.24655099999995,208.66285200000004,42.37110300000002,17.911808,3.3349399999999996,9.087126000000001,4.886944999999997,16.381938999999996,9.557476,65.47282799999999,1.1387370000000008,36.03421399999999,3.376787,43.273472999999996,11.944118999999997,50.86934799999999,27.131559000000003
Cost of goods sold,552.273555,4.569710000000001,2.7968170000000008,2.5004600000000003,0.6181580000000002,100.93996799999996,54.81621100000001,34.51593300000002,95.18944199999999,160.09031500000003,15.273653000000003,6.583258000000001,0.06236700000000006,0.45832400000000006,1.3429210000000005,2.0145719999999994,2.2854080000000003,11.66523699999999,0.003802,21.27759600000001,0.20729600000000037,3.4646740000000005,2.2852459999999994,17.984500000000004,10.881735999999997
Compensation of officers,34.54914200000002,0.16423600000000005,0.164381,0.158771,0.008822,4.336150000000002,2.415031999999999,1.4327010000000002,2.7783119999999997,3.2492300000000007,0.7341130000000002,0.6700869999999997,0.17077099999999978,1.134192,0.5030809999999999,1.3993280000000006,0.362092,6.008154000000001,0.08800299999999994,1.2414290000000001,0.11534599999999995,3.634374000000001,0.8123580000000001,1.3629939999999996,1.5883199999999995
Salaries and wages,120.49035599999996,1.4469560000000001,0.3922260000000001,0.652532,0.055806999999999995,9.065885999999999,6.433879000000001,4.309704999999999,8.103037,14.576422999999998,6.531926,3.35325,1.0138730000000002,3.2854039999999998,1.092879,5.242507,1.238686,17.008682999999998,0.11898599999999981,5.769080000000002,1.45606,13.646269999999998,2.2004269999999995,9.707844000000001,3.7611919999999994
Repairs,7.720354999999998,0.352075,0.18907700000000005,0.18686500000000003,0.009736999999999999,0.7065210000000002,0.3682749999999999,0.30066000000000004,0.4524499999999998,0.8437350000000001,1.0155039999999997,0.16273500000000002,0.03853099999999998,0.022973,0.031002000000000002,0.239856,0.277165,0.27659100000000003,0.01389399999999999,0.20202200000000015,0.0532,0.304578,0.30867700000000003,1.0534299999999999,0.309192
Bad debts,3.6944539999999995,0.007287,0.0033620000000000004,0.0037669999999999995,0.0008190000000000003,0.37750400000000006,0.36416899999999996,0.175004,0.605951,0.176647,0.201397,0.18175699999999997,0.2561700000000001,0.014811000000000001,0.026288,0.054177,0.048801,0.454476,0.16900300000000001,0.131843,0.010641999999999999,0.0935,0.023772,0.14652500000000002,0.132338
Rent paid on business property,33.50663800000001,1.0285160000000002,0.131351,0.20681900000000003,0.010448999999999993,3.804398,2.0764299999999998,1.3219100000000004,2.1989160000000005,5.278386000000001,2.2386280000000003,0.6342029999999999,0.17115499999999995,0.573765,0.29583800000000005,0.6153599999999999,0.8879349999999999,2.2458419999999997,0.036271,0.7099139999999999,0.21619900000000003,2.274592,0.76179,3.6191960000000005,2.152435
Taxes paid,23.113880999999992,0.336916,0.130733,0.18508199999999997,0.021086000000000008,3.033403,1.9219800000000005,1.092784,1.5354979999999996,2.986255,1.4528819999999998,0.47028100000000006,0.11330700000000005,0.20651399999999998,0.11452800000000007,0.5899180000000002,0.30392300000000005,1.8554449999999996,0.045674999999999966,1.0351659999999994,0.15903799999999996,1.7022610000000005,0.450983,2.356217,1.0045070000000003
