year,Earnings,Kstock,Inv,Depr,Debt,NIP,Tax,NetInc,CashFlow
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,-50.74,0.0,-1297.713,-73.879,28.189,45.689,22.551
0,-9.374,-51.752,-45.305,-7.84,-276.905,-13.66,11.622,0.504,24.309
0,-17.012,-91.025,-17.878,-13.03,-300.211,-16.735,-32.757,45.51,33.622
0,-18.15,-97.825,-18.972,-13.224,-315.061,-18.809,-21.918,35.801,22.741
0,-19.509,-105.656,-19.975,-13.713,-330.464,-20.586,-14.574,29.364,15.04
0,-20.977,-114.157,-20.809,-14.399,-346.447,-22.114,-9.684,25.221,9.516
0,-22.53,-122.974,-21.638,-15.198,-362.963,-23.488,-5.199,21.355,4.306
0,-24.155,-132.0,-22.498,-16.077,-380.026,-24.784,-1.831,18.536,0.174
0,-25.838,-141.186,-23.394,-17.016,-397.64,-26.048,0.347,16.879,-2.791
0,-27.571,-150.502,-24.325,-18.003,-415.804,-27.307,1.467,16.272,-4.713
