asset_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EP1A,0.028014750168970443,0.037441010115367025,0.05458179215024069,0.10287271989656914,0.1010802136352683,0.11820879350362574,0.13288011989507362,0.19157074041607833,0.20074643662746505,0.2871412069047814,0.33373785351032054,0.3304631744749343,0.4375036083167479,0.417101913584147,0.43446852797378477,0.3980407122331114,0.45585716859840086,0.5645282005254425,0.8820023507718161,1.2124552005062574,1.268814114317476,1.9141011216189678,1.4395377077471148,1.7081834380460788,2.1367487616844283,2.3013373322011597,2.1461758461153515,2.159520804023855,2.2596716769622556,2.0380221412084047,1.4706525278516716,1.4409102257609252,0.939083701770207,0.9315593245980811,1.2437349314607757,1.4442598757430913,1.686553619742729,2.492777271308872,2.3363325869154425,3.0353141715117262,3.700300993771336,3.020007602888411,2.6617129632769223,2.83368452707572,2.8701250597288173,2.4241453387398364,3.3590551301899794,3.165917489366763,3.28166988543051,3.9097921765206998,3.7684657816734095,2.5922162249476544,3.0350858332471495,3.102612942608381,3.194893997080206
EP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277833752600405,0.7382599570842501,1.2228806892462825,1.3198388504743577,1.1460723541881976,1.466921769590077,1.8787418868331622,2.1793205767734247,1.6695806125108208,1.7477863180081294,2.20649476273209,2.678422030818598,3.5007402939624095,4.469933216085607,4.383261330259469,4.171208059771033,4.667605986765238,4.6632702949460265,4.744700222681047,4.085091180322765,4.060440554603578,4.479290951114844,5.113225537550748,5.666048651117767,5.642476658886565,6.240149550707945,5.837312815116271,5.220848367433288,5.304501950006161,5.131490789155569,5.4708299926704065,5.685610644951382,5.627483810452385
EP1C,0.005291675031916639,0.004870375299559938,0.006671107929473862,0.022724123201033185,0.0362928956969361,0.04739912502345873,0.08710721846983949,0.08511252923986554,0.08353724955688366,0.11139756299760341,0.14841643604794685,0.16110412615417827,0.18546348613427355,0.2207439481757757,0.2128293002561016,0.20020500109343994,0.24873249720915752,0.32183177382551587,0.4223447540031147,0.5504482337777367,0.632538100198205,0.8524916389221404,0.755902431435559,0.8695997731007945,0.9382989649344037,0.9298406668990754,0.8543152841986108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1D,0.015563750093872467,0.018568305829572265,0.018497162895359347,0.040227839720747935,0.05518919676228299,0.06474026832472413,0.10042297161172575,0.09024630084480982,0.0819950234112181,0.0831666737447861,0.0868196325360977,0.09905906599893274,0.06932980520808876,0.09195547668542095,0.10850121189526749,0.09737781709988619,0.10470540783253139,0.13909304745472637,0.14192615039671064,0.201999351845041,0.23112767745259424,0.3765830016085526,0.3649391240749534,0.587200022919449,0.8751222038698618,0.9091409042198803,1.1417366454081666,1.368965278998015,1.2838389400320587,1.5439393763241847,1.1858629932131581,1.0521903103072137,1.2996719001857189,1.6212337223287605,1.4618254989722412,1.4861761453395732,1.336038457672105,1.7271385379782902,1.8318593623695725,2.233375285802614,2.243853053639987,2.330467389472228,2.570018408521407,1.772726607487566,1.7901203367179237,1.3958344655568424,1.3885934437700083,1.3279195521053995,1.1668665969079641,1.056613109011435,1.30036800077908,1.2627388232802939,1.3223077746463365,1.3972177653956925,1.2810780430990965
EP1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005325756236501761,0.04680387571809602,0.062489080841473914,0.05888740987478192,0.08031892943275283,0.1225373331839232,0.12718968047761825,0.15978137576920004,0.24630148242014657,0.3432650950845807,0.3671844468321623,0.41798842077262904,0.514063274058924,0.6079093171920414,0.42095623572381313,0.4846961107009669,0.593523041092093,0.47707378249920745,0.6335341620758409,0.4955117745146083,0.45205326649575694,0.5823081479902392,0.674858945960051,0.654890399179819,0.7826345178367855,0.99077009220628,1.1837013205672118,1.086135188893314,1.2278517710713404,1.3929761637887697,1.0984408487170354,1.2530446538646218,1.3618032237821396,1.6939849063771129,1.485557690896642,1.4031003443164654,1.2033489023318515,1.1630103455737333,0.9224685584119574,1.2758941097404635,1.0846623280648031,1.173043935443329,1.3153872596740823,1.2910838154770217
EP1F,0.007470600045058784,0.014915524354902312,0.022135949038708722,0.0586528044783424,0.08098414742291525,0.10115666925738144,0.14813775370348498,0.13428865724512118,0.12543439318079763,0.13708512889431104,0.14841643604794685,0.14086625245547157,0.12264117166773823,0.10160826153085188,0.07627542460158761,0.07297413057607043,0.07087047255040334,0.09280217587708368,0.11949266210819831,0.11454281428485848,0.11732896474457839,0.13691985481059685,0.1647530988007058,0.1460820402632995,0.24259112783393555,0.2883312075845439,0.2532776545668116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07322996930579,1.375952944698036,1.5518816413298004,1.246563578729705,1.0665703465341514,1.355395167935981,1.118415430603149,0.8783945623387321,1.0920447199111694,1.5725815379384762,1.691085974137046,1.5903193170354326,1.4321573088364987,1.482783548963468,1.4323267753587123,1.1303282030142499,1.3318925923825065,1.2508327367763492,1.5209794852692684,1.640871982541321,1.8476490349482666,1.7298792917056782,1.441424554430848,1.7054707986000965,1.4773931931886959,1.5496330089686412,1.6953993183357217,1.5486900568680102
EP1H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11852361416502688,0.24361180413514757,0.35132647167086584,0.4640500108244771,0.5844929941935562,1.0205103052417883,1.1781090678045938,1.4101386953872292,1.4215208987460126,1.59291437737899,1.7033408986012077,1.8640981585786964,2.1743947175034,2.409914624924838,2.7132095182385023,2.684652065230942,2.800672085237083,2.966475198407975,3.0935577092254993,3.5341561752650823,3.632901727098319,3.81643901004793
EP20,0.7000574792223835,0.8163966595887345,0.9197031977315557,0.8807133154130159,0.8977242712473531,0.997404758877781,1.1013237494435117,1.1380761052644877,1.1834015291073612,1.4405383489005152,1.7276310364293201,1.7681510705185846,1.6546546650926888,2.0580753373074048,2.0819249632895342,2.198938006092564,2.4267421487823597,3.0278638666214284,3.8503191123752787,4.656314604746201,5.031024475870621,5.807666041256345,5.77516664313677,5.648569376000164,6.49174621549002,6.775417010755735,7.054920803240464,7.321921150121317,8.390818208364983,8.057150792440913,7.108101466148781,6.676314266127858,6.772429994152909,7.357081228751317,8.780697465998852,9.392799126256167,10.306894697077952,11.767556837782047,12.579885461032235,14.231603677239047,18.242439513435105,17.08377771086331,14.349083773245797,14.293803828629388,15.171528954751308,15.55070714777136,16.968650803822186,18.964228230733763,17.534024248444865,15.41547457612871,17.083973967592595,16.606675969131793,17.098058464853917,18.803396496932983,19.16698973140851
EP34,0.06910305041679375,0.07488202023073405,0.07793066990339921,0.09396732026373181,0.10557933293654136,0.11531860295341484,0.12344812808623748,0.17103565399630125,0.1750426675330393,0.21567382059809975,0.2604588976082931,0.314485905765429,0.2975925573733485,0.3703621132799551,0.3885641690950178,0.44424186633159757,0.5216981237420014,0.5089791546322713,0.6416435476806127,0.7049318289955919,0.7363690424500442,0.9084557605451925,1.0387652851480709,1.0897758495133691,1.1087426133653278,1.109543916352975,1.175338388453407,1.4534877365945942,1.6428916540529825,1.6488511559332453,1.6264926321182462,1.7361599057395414,1.8875523749509844,2.205536998792828,2.1699238096584033,2.0995163304951614,2.1954928904082673,2.326641170995548,2.565152390484529,2.7978468315687364,3.0947299434912052,3.594598346250658,4.159333560386629,4.697012523861013,4.9107693245839465,5.611387608024983,5.991349925686725,6.414226757134682,6.933364614795632,7.069561671338422,7.003640343232629,6.8925229404892985,6.884753756149224,7.654625422376959,7.476686217382826
