year,L_nc,L_c,At_c,An_c,i_pr,i_t
1960,49.80066667959215,460.35797401292314,937.7268073474658,56.62628532087639,0.007328494623655915,0.039460642570281125
1961,55.858311745136454,483.74076439855946,934.6569964743993,56.93532885957135,0.018795161290322583,0.039460642570281125
1962,62.72328079072941,516.8750795373131,947.5387262127812,64.11464798925425,0.010711827956989247,0.039460642570281125
1963,70.57025265958778,550.7651062247032,1106.9680628635344,90.0267600798316,0.00835371485943775,0.040015662650602406
1964,78.07782263100421,594.2137773117931,1153.3308139932117,87.4830940305731,0.006225466666666668,0.0418736
1965,86.51942662418092,658.3006462145757,1223.7930149675233,109.35386753821636,0.00561726907630522,0.04283694779116466
1966,95.28414122372241,736.4994006469182,1192.9514571306402,86.50841825468899,0.006856866666666667,0.0492504
1967,104.63624737377013,807.0778001327584,1176.7417081279991,78.44951366872043,0.011287751004016064,0.05072650602409639
1968,114.56578928533244,904.5582659608561,1243.6176814468593,89.90789718033355,0.012723266666666668,0.0564436
1969,128.43420335067466,1008.2867904504844,1118.2144727910302,66.5632237189143,0.010240456989247311,0.06672741935483871
1970,134.45474047543198,1149.0103991202268,1133.62090679885,51.70536128165665,0.01709186746987952,0.0735432
1971,154.91388685323406,1240.2396443137873,1507.850935100528,75.4779411812689,0.024095682730923693,0.06160883534136546
1972,183.32227820499037,1365.3873739517994,1696.4004403135475,99.25052108088116,0.019468466666666667,0.062060399999999995
1973,208.29411221118085,1572.882366607138,2031.1245847627715,95.99367763463428,0.013701075268817205,0.06848104838709677
1974,241.87951383858538,1748.7797630050509,2114.755413687901,110.63758685279542,0.019326807228915662,0.07562409638554217
1975,260.29953361655606,1810.7512719662523,2495.2398230206863,115.20192219352099,0.026104116465863456,0.07993935742971887
1976,286.9819531858541,1942.5454688646578,2962.59701107913,100.5104678155606,0.02134826666666667,0.0761272
1977,325.6547629879821,2182.779530032894,3118.6409488231366,103.88617416130555,0.015508232931726908,0.07417630522088353
1978,378.506426457646,2422.248393733473,3308.0511486734645,109.6153659171121,0.010843145161290323,0.08408387096774193
1979,445.31067566321764,2693.280071988403,3527.327452438393,105.97816119247143,0.012424059139784947,0.09432943548387097
1980,502.37001758943546,2907.7883207729287,4220.071876186654,222.55889302016993,0.0213842,0.11433439999999999
1981,560.9426394423812,3284.2781227522323,5297.145145314344,252.13198241528755,0.021568373493975904,0.1392136546184739
1982,613.3254757577118,3572.8208075190823,5695.81890131558,289.50247801747804,0.031173694779116464,0.13005502008032127
1983,677.8806217229014,3943.748698979341,6442.815777035511,434.27748960611666,0.024603,0.11103
1984,780.7583147320588,4610.055460847255,7256.803385359277,534.4789138829823,0.017765662650602407,0.12458112449799197
1985,844.4744592067718,5182.293525761458,7685.3719350963565,607.9124131928845,0.021212231182795697,0.10619798387096774
1986,905.2482154985945,5895.457565617843,8142.171268937151,595.621989384785,0.027493533333333334,0.0767284
1987,957.7749582184406,6486.9299123327,8106.82540916502,460.33223717609167,0.021798933333333333,0.08392680000000001
1988,1033.5412276599334,7162.517064975709,8497.98243200043,399.2367068340882,0.019873866666666667,0.08848
1989,1077.2109384641337,7763.34252784482,9326.745298264656,769.066732332356,0.017037133333333333,0.08493719999999999
1990,1077.503276631797,8174.930230200131,8675.342906928441,586.4933187033339,0.018201533333333332,0.085524
1991,1051.6598585529755,7989.167478020853,9798.807617007053,1065.439485940822,0.019842866666666667,0.0786244
1992,1027.720711386735,8047.221302426571,11080.06634392553,1089.0932029409362,0.020134462151394424,0.07008844621513945
1993,1009.029170090811,8507.832234280042,11786.610571691968,1300.550301147987,0.020932999999999997,0.058662799999999994
1994,1022.0893551043779,9131.923494533536,12622.287684875906,1348.0479157874124,0.015630421686746988,0.07085180722891567
1995,1063.1343579016939,9787.005252227142,13183.747486613396,874.521896767036,0.01646126666666667,0.0657392
1996,1126.8885153889203,10260.238780323947,14299.638083883696,737.3541107462732,0.016457936507936508,0.06443531746031746
1997,1219.1424764722806,11137.110810636847,15801.378087059333,650.8932376513835,0.015396599999999998,0.0635396
1998,1381.1657017372659,12377.195518273298,17343.8576364009,612.0963872552163,0.0197438,0.0526288
1999,1556.5803682677217,13662.502763853681,18970.914778768638,594.3620426501055,0.02243901062416999,0.05646135458167331
2000,1730.7333648114195,14794.014804354016,21193.658679617496,759.2486568338161,0.023555843293492695,0.060302788844621515
2001,1878.6935855898623,15206.032535038257,24178.203403947988,697.273541035527,0.02935604838709677,0.05020685483870967
2002,2016.1468286952286,15225.184605540731,25439.32187635345,763.8367647544413,0.0319792,0.0461308
2003,2083.0343444996392,15249.53812163947,26657.11871868106,841.6444187658723,0.027544533333333336,0.0401388
2004,2313.5950313264666,15839.919587666964,28140.152958405863,756.2770843463646,0.021256066666666667,0.0427132
