year,f_c_l,f_nc_l,i_t
2014,0.32,0.29,0.02541
2015,0.32,0.29,0.02136
2016,0.32,0.29,0.01842
2017,0.32,0.29,0.02329
2018,0.32,0.29,0.0291
2019,0.32,0.29,0.02306
2020,0.32,0.29,0.02238
2021,0.32,0.29,0.02532
2022,0.32,0.29,0.02863
2023,0.32,0.29,0.03007
2024,0.32,0.29,0.03062
2025,0.32,0.29,0.03104
2026,0.32,0.29,0.03132
2027,0.32,0.29,0.0316
2028,0.32,0.29,0.03189
2029,0.32,0.29,0.03219
