year,dep_total,dep_posinc,intpaid_total,intpaid_fin,intpaid_posinc,intpaid_fin_posinc,netinc_ordinary,netloss_ordinary,netinc_rentalRE,netloss_rentalRE,netinc_rentalO,netloss_rentalO,netinc_total,netloss_total
1995,41.283783,28.531068,27.807346,1.520383,17.819165,0.966922,115.087307,38.188278,4.285458,1.998412,1.031811,0.23474,134.958619,35.829947
1996,44.778017,31.502214,28.529779,1.710561,18.455255,0.880973,132.544004,39.405161,4.738874,1.868592,0.945454,0.319656,161.89638,36.650884
1997,48.746061,34.608054,33.534784,3.966525,22.68728,3.177675,154.704647,42.98197,5.713349,1.860027,1.065842,0.376913,192.122074,39.059063
1998,51.4859,36.908589,37.153707,3.860178,25.529547,2.441373,171.096577,46.237152,6.673561,2.127346,1.246257,0.328681,223.97291,42.184607
1999,56.874046,40.167426,40.351393,4.577447,27.387346,2.746827,187.376075,50.02747,7.443236,1.932265,1.140058,0.448293,240.561633,46.805222
2000,61.551752,41.710129,47.409313,4.661272,32.446121,3.946542,199.827055,60.717928,8.275616,2.827575,1.306015,0.519851,254.216205,55.680317
2001,67.038799,43.949406,49.42035,4.296246,30.752319,3.26661,205.846678,63.294497,8.781354,2.554522,1.184909,0.477574,248.863846,61.176929
2002,78.299503,49.87847,38.783242,3.509052,25.566976,2.844502,215.480028,64.868559,9.379673,2.756461,1.236094,0.85323,246.533627,63.054694
2003,82.261523,51.749712,37.154873,3.284222,24.730876,2.855004,236.674565,65.09995,9.544351,2.78508,1.282959,0.714353,276.531538,62.849757
2004,86.58853,57.627627,39.14088,4.094913,27.383418,3.634211,283.531197,66.152366,10.015272,3.40597,1.289396,0.909146,339.948836,64.550185
2005,66.795074,49.37917,50.52749,5.825663,37.495886,4.823239,348.078943,65.175434,10.839434,3.539451,1.958139,0.675225,421.345214,60.302648
2006,76.305065,55.066022,66.607001,7.877081,46.859342,5.333537,373.09166,77.162186,10.945766,4.113126,2.035597,0.624621,457.000711,70.798401
2007,82.440013,57.676417,75.343546,9.207613,51.28885,5.876848,380.026863,92.828509,11.85384,4.677506,1.968201,0.49787,483.606905,82.87664
2008,105.468761,64.774951,66.52193,7.389491,40.763823,5.499325,360.625661,120.599276,11.806539,4.882816,1.620744,1.037223,432.213546,115.123011
2009,90.415004,56.385217,52.715765,5.110233,31.111588,3.62287,330.512003,109.622838,11.484246,4.569493,1.463154,0.586277,379.555536,107.08921
2010,89.426819,60.898088,47.561234,4.762667,31.353445,3.876694,358.419987,89.40844,11.556608,4.338475,1.307812,0.55188,419.427046,85.333119
2011,109.851286,72.366945,44.022709,4.190361,29.705162,3.574223,378.771765,86.263047,12.512404,3.932441,1.853902,0.85141,457.111722,81.674533
2012,82.560798,59.461215,42.756599,4.371505,31.440009,3.857858,452.867778,74.510513,14.197403,4.029065,1.89736,0.48638,545.015173,69.017122
2013,89.155046,64.933139,40.19547,4.161206,29.692016,3.451495,455.520185,74.57686,14.220363,3.514566,1.722386,0.755584,515.948187,69.762612
