year,dep_total,dep_posinc,mortintpaid,mortintpaid_fin,mortintpaid_posinc,mortintpaid_fin_posinc,otherintpaid,otherintpaid_fin,otherintpaid_posinc,otherintpaid_fin_posinc,netinc,netloss
1997,28.625259,21.175313,4.533657,0.161646,3.085143,0.135848,6.350002,0.598711,4.289623,0.161281,210.464545,23.820635
1998,29.135616,21.27382,4.882248,0.099005,3.326394,0.080725,6.277153,0.51796,4.234868,0.24486,226.18957,23.91485
1999,30.637555,22.11764,4.736127,0.142316,3.285686,0.097555,6.488361,0.526909,4.157045,0.168872,233.404991,25.458013
2000,32.196159,22.884358,5.250896,0.118245,3.500441,0.095001,6.98195,0.658397,4.260207,0.182214,245.230626,30.515328
2001,33.425567,23.317982,5.456226,0.149394,3.333583,0.085821,7.053321,0.473262,4.492653,0.235587,250.178322,32.793206
2002,36.642027,24.932576,5.006864,0.113504,3.080081,0.095196,6.432675,0.408575,4.126863,0.163535,257.292855,36.179568
2003,41.754963,28.184392,4.762929,0.153181,2.979847,0.097406,5.818316,0.359089,3.748396,0.194056,269.089168,38.781068
2004,42.900776,28.579782,5.167373,0.176596,2.964033,0.123583,5.856393,0.445403,3.684395,0.225783,290.486159,42.91897
2005,39.080205,26.949944,5.543658,0.199203,3.327399,0.140353,6.565852,0.439218,4.105024,0.227569,314.75651,44.836514
2006,39.004511,26.458059,6.297485,0.261953,3.614061,0.176125,7.214467,0.517807,4.419487,0.231739,326.769239,48.736596
2007,39.645972,26.068072,6.648973,0.200212,3.493736,0.0917,8.368192,0.55734,4.911372,0.285901,335.098968,54.541958
2008,41.446328,25.163377,6.481051,0.22474,3.243966,0.113483,8.181013,0.543891,4.597086,0.265266,325.265465,60.757103
2009,34.546428,20.188082,5.361051,0.210308,2.653515,0.110974,7.176096,0.454416,3.993493,0.214163,308.888096,64.066281
2010,35.123984,21.283062,4.928496,0.184529,2.651706,0.105936,6.209483,0.354814,3.707884,0.177811,323.215331,55.515628
2011,35.615262,21.878279,4.430249,0.126586,2.596379,0.085446,5.925935,0.418249,3.606492,0.253361,336.999662,54.349737
2012,34.244946,22.37929,3.621187,0.104731,2.157567,0.070357,5.736292,0.331862,3.645251,0.203306,357.074821,52.17891
2013,35.378629,22.912305,3.426685,0.126873,2.054224,0.083762,5.579335,0.316069,3.474774,0.186609,357.417038,55.147417
2014,36.56889,24.048513,3.190308,0.10262103,1.993104,0.08503441,5.627377,0.42031847,3.577566,0.25661361,374.540376,57.482289
