Asset,i1960,i1961,i1962,i1963,i1964,i1965,i1966,i1967,i1968,i1969,i1970,i1971,i1972,i1973,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016
Electric transmission and distribution,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1,3.3,3.1,3.3,4,4.7,4.6,4.9,6.1,6.5,7.4,7.9,8.9,9,9.5,11.5,11.5,11.2,12.3,12.8,13.7,14,13.3,13.7,14.2,15.7,17.4,18.2,19.3,20.2,21.9,25,23,20.3,20.5,22.9,25.4,30,32.7,31.7,25.7,28.2,31.3,32.9,34,34.2,32.8,32.3
Electro medical instruments,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.5,68.3,71.8,74.6,77.6,82.1,81,83.1,85
Farm,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.6,1.7,1.9,1.9,1.8,2.5,3.2,3.7,4,4.4,5.2,5.8,5.2,4.7,3.8,3.3,3.3,2.3,2.1,2.6,2.4,2.5,2.8,2.8,2.4,3.4,3.2,3,3.7,3.8,4.3,5.1,6,5.1,5.6,5.1,5.5,5.9,5.8,6.3,8.2,6.6,6,5.4,7,8.5,10,8.4,8.4
Farm tractors,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4,4,3.9,4.8,6.4,6.8,8.5,8.8,9.5,10.7,12.7,11.6,12.6,9.5,8.5,9.1,7.3,6.8,6.6,9,11,12.5,10.6,9.4,10.8,12.3,12.7,12.8,15.2,15.8,11.4,12.7,13.7,15.9,17.4,19.7,21.6,20.6,21.2,25.1,26.4,25,28.5,39.5,46.8,48.6,40.6,36.7
Financial and real estate services,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.6,0.6,0.6,0.9,1.2,1.5,1.7,1.7,1.8,2.4,2.8,3,3.8,4.5,5.3,6.1,7,8.2,10.1,12.3,13.8,16.1,15.4,16.2,16.2,14.5,15.3,15.7,20.5,26.7,31.1,31.8,35.5,38.5,43.1,42,43.7,47.8,46.9,50,43.9,44.9,49.2,51.6,54.8,61.5,65.6
Food and beverage establishments,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,1,1,1.2,1.6,1.9,1.9,1.5,1.6,1.9,2.4,3.2,3.5,3.6,3.2,3.5,5,6.3,6.4,6.8,7.2,7.4,7.4,5.4,5.3,5.9,5.7,6.7,7.1,8.1,8.7,8,8.6,8.7,7.9,8.4,8.2,7.8,7.4,8,8,4.9,4.6,5.3,5.8,6.6,7.2,7.2,8.1
Gas,2.2,2.2,2.3,2.1,2.2,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,39.9,42.7,28.4,29.5,26.2,14.6,12.2,14.8,13.9,16.7,17.2,12.8,15.2,14.5,13.7,15.2,21,21.1,17.2,22.3,33.3,27.8,36.2,43.6,64.3,87.9,94.6,109.8,69.1,79.4,101.3,123.6,128.1,152.8,108.7,58.4
General industrial equipment,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5,5.3,5.2,5.5,6.9,8.3,8.5,9.4,12,14.8,17.2,18,19,18.1,16.8,20.3,21.9,24.2,23.6,26,27,27.4,25.8,26.5,31.3,34.5,39.1,41.3,43.1,46.2,44.8,47.6,43.8,43.6,46.9,49.6,57.3,62.8,63.8,62.6,50.8,54.1,64,72.6,71,73.9,76.9,78.8
Highway and conservation and development,6.9,7.5,8.2,9.2,9.3,10.1,11.2,11.3,11.8,11.4,12.2,13,12.9,13.2,15.1,16.4,15.5,15.6,17.6,20.9,22.5,23.8,22.6,23,26.7,28.9,30.7,32.7,34.5,34.9,38.2,38.6,38.5,40,44.2,46.6,53.9,48.2,50.1,55,59.7,65.7,64.8,64.1,66.9,71.7,80.3,85.4,87.5,89.5,92.5,92.2,90,88,91.3,96.7,98.6
Hospitals,0.5,0.6,0.8,0.8,1,1.1,1.1,1.1,1.3,1.8,2.1,2.5,2.8,2.9,3,3.1,3.3,3.3,3.4,3.7,4.4,5.3,7.4,8.4,8.2,7.5,7.4,8,9.4,9.5,10.5,9.8,10.3,11.2,11.2,9.9,9.4,11.2,10.7,10.7,11.5,12.7,15.7,17.1,18.2,20.5,24.7,27.6,28.8,27.8,24.2,23.1,23.9,21.6,19.9,21.8,21.5
