year,r_d,r_e_c,r_e_nc,pi,f_c,f_nc
2017,0.044,0.058,0.05,0.02,0.32,0.29
2018,0.04782,0.06182,0.05382,0.02,0.32,0.29
2019,0.05204,0.06604,0.05804,0.02,0.32,0.29
2020,0.05447,0.06847,0.06047,0.02,0.32,0.29
2021,0.05579,0.06979,0.06179,0.02,0.32,0.29
2022,0.05657,0.07057,0.06257,0.02,0.32,0.29
2023,0.05669,0.07069,0.06269,0.02,0.32,0.29
2024,0.05669,0.07069,0.06269,0.02,0.32,0.29
2025,0.05669,0.07069,0.06269,0.02,0.32,0.29
2026,0.05669,0.07069,0.06269,0.02,0.32,0.29
2027,0.05669,0.07069,0.06269,0.02,0.32,0.29
