0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4732586937.319909,4593624889.396884,4648285858.292471,4929469424.0,5209638286.435086,5489778847.171722,5763220637.902453,6029502159.9162,6294173921.2693405,6563280218.338093,6838899270.778541,7122686523.7228,7415317196.305478,7717286507.93485,8030525252.777552
5978666781.162168,6048691508.729356,6179028513.176797,6522869098.0,6893599628.572339,7283899556.415619,7690208349.350501,8110712270.590819,8544387506.545945,8993869891.839798,9460390524.583923,9945148456.311686,10448680450.530878,10971123228.27758,11514897493.577139
71039354803.63594,75564502304.09785,81577582189.4625,86223598873.0,91124160278.9992,96201279824.57478,101374599163.44002,106611680895.38693,111922173170.79518,117357093108.23853,122936284746.41061,128678002021.15805,134589794925.18166,140674940588.23886,146965386254.24277
30857618318.373047,30671909621.319416,31548755410.611694,33402731580.0,35301192550.95766,37230150696.31427,39148380952.74137,41046067650.72269,42943878798.556984,44872900670.707405,46844737574.575745,48869293695.35629,50951014363.78309,53092908808.9021,55308276870.76726
147456511285.62137,149750192977.98016,155336734347.30795,164000000000.0,173321022099.38654,183118243087.26547,193294826787.52914,203802282253.36383,214617998049.13483,225810292830.5612,237409927450.12967,249446679237.684,261933336014.29257,274872843632.4224,288325275502.71625
21329401684.446194,34500667903.704384,44653558789.62511,47539167782.0,50241080181.28333,52860243130.603836,55336227776.57169,57694372426.23968,60038560945.33785,62448858475.78287,64944050413.90294,67537083980.89184,70229724300.12636,73024112764.05363,75935859857.18542
12325814574.177162,12795614284.129684,13439124012.331879,14215531494.0,15023478342.842066,15852893566.904476,16688189654.927408,17524219438.14247,18365692276.896393,19223173329.77132,20100699382.404106,21001860028.64385,21928237974.69803,22880766139.532215,23864942996.618797
7821474187.272183,8350139232.632291,8908276993.269701,9431775719.0,9967835413.593025,10512506455.084593,11054148311.909653,11589989378.602722,12125865585.628513,12670554621.361807,13227333140.723053,13798997742.942715,14386803635.619003,14991600520.920155,15617143813.524965
48250560211.150345,49570544531.00221,52026953707.76903,54922065480.0,58043588565.872154,61329884499.73054,64750973869.36261,68291585147.923874,71943097902.25539,75727705660.94623,79655774177.17628,83737399374.35596,87977100760.7077,92376029517.03601,96954567788.52736
88443687457.86197,91670353414.23721,96446872546.14874,102000000000.0,107797221061.81357,113761134360.6247,119783420027.02705,125826391208.27586,131918302731.31796,138131200746.83322,144492705158.35504,151027575352.29053,157746602374.96127,164655842240.92645,171794385785.98523
4471876616.191751,4556930535.9694395,4722687482.554662,5016215181.0,5301314281.95963,5582544019.561694,5853050127.198585,6113577028.855693,6372078990.987953,6635842865.449697,6907081330.325317,7187450930.954666,7477492724.705659,7777630048.759501,8089708730.464468
4525336714.193082,4582299622.304836,4799313443.646911,5115177130.0,5405900782.871991,5685629338.69446,5948258316.425005,6197450476.092915,6445670118.3903475,6701908653.723997,6967962084.193897,7245025487.894294,7533099709.167931,7832320162.629508,8144283580.862503
836402763.0669136,1041327136.5056239,1170580523.901612,1249951615.0,1320993240.7718225,1388582489.6056643,1451425323.7054317,1510781578.9462674,1570158041.81578,1631851609.21936,1696186016.30346,1763366445.467135,1833319985.7997174,1906047211.9970796,1981911963.653861
2421923918.5148406,2972187780.1065183,3512726302.329587,3719463640.0,3930861217.965272,4145466769.4193234,4358654581.298049,4569361927.085598,4779987266.895871,4994052818.209375,5212869622.038662,5437552597.437387,5668601454.839629,5906356828.176637,6152301241.6459465
53765787930.73702,55093542336.454346,57117790299.1065,60800835315.0,64256481227.39193,67609366018.63356,70781713323.38252,73804600700.02121,76808991232.7169,79896667274.91965,83091924357.227,86411580734.40013,89858158867.58694,93434536671.11302,97160805784.04811
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187230098218.03354,193299360962.22427,201790405720.18387,213000000000.0,225105961629.0813,237866930809.94263,251174213851.2142,264971770500.36325,279223307802.2317,294013093427.8432,309381763178.8891,325369088765.0786,341993560786.27124,359260395264.9735,377249702592.61584
61018092145.92356,63549627685.2586,66527020460.52242,70225622111.0,74216930499.04756,78421720133.33113,82802976396.53362,87341720205.88979,92026417672.89548,96885121050.2655,101931151534.74908,107177517033.75275,112630155435.22696,118290660430.20987,124185269339.18924
35366740741.46353,37093802943.5244,39063288025.21138,41257755574.0,43602660765.92891,46054728846.21348,48584094628.75488,51176737110.95942,53829998793.871216,56563150352.29011,59384167768.80902,62300630235.137215,65315568035.98828,68429708635.6605,71657924061.25868
57037138411.32671,59110001632.78183,62061280962.30837,65668171777.0,69400455193.8276,73217833349.3483,77044695869.2438,80858473983.13263,84687388167.81673,88584560503.56354,92570156875.04753,96661854110.03868,100867554115.25911,105192226698.60199,109661621580.30942
180349909069.83566,190217864154.84775,199876794500.65073,211000000000.0,222992290627.86926,235616960618.18118,248758531998.75626,262358210622.35483,276382999706.04926,290918240404.8332,306003742913.17896,321678273495.9072,337959161036.5463,354850802654.89777,372431464758.0652
23526568640.54085,26778447953.254284,28932489682.14001,30621499311.0,32361887553.647438,34137173306.049397,35910992495.87573,37673364966.445114,39439752526.09248,41236431007.311874,43073316720.43516,44959009314.004234,46897371573.73038,48890920045.85529,50951755588.58101
1391448568.7915154,1399094278.3719697,1455268459.5888138,1540787936.0,1628359389.6702693,1717337604.8888707,1805820968.30765,1893356706.6215792,1980898185.5088997,2069879340.2917356,2160835449.853118,2254223370.5141153,2350248154.725307,2449048611.008972,2551238229.1049166
125608260321.98044,129852437760.59631,135455714313.9994,143000000000.0,151127476586.66022,159678496239.09946,168572449169.96982,177768542383.47296,187245379311.5713,197061423423.21768,207243570388.36276,217817951688.8022,228796062325.2709,240180701387.04498,252024635427.73492
18328788093.3127,25247173363.14983,29758998922.8759,31446708034.0,33233997427.523594,35090880075.114914,36989883973.80105,38919346688.19706,40880944446.45619,42891982796.71873,44959265580.85427,47089113708.38394,49284086749.28219,51545134440.1341,53883764747.35751
100205812794.14764,103635570411.61787,108753017858.06895,115000000000.0,121536082569.69179,128270139871.55905,135082984137.80513,141931694732.9222,148843879701.18805,155897852965.87997,163123709041.50644,170548576859.9269,178184167298.39362,186036788644.9188,194150210321.7354
12754160662.16702,13224718367.123587,13879071864.879776,14651065466.0,15483766106.171612,16360690932.115938,17273969160.10665,18219579117.515858,19195171324.124393,20206634258.110657,21256739041.439148,22348187862.486908,23482201126.650627,24659097091.0492,25884329266.99065
291012454284.4909,301829919264.7531,317369886930.8056,335000000000.0,354039892703.01514,374109961602.4919,395039256526.55756,416739639049.8671,439154028703.0406,462414959147.07745,486586341149.8962,511730726461.50867,537877196541.78815,565033954994.2074,593326997035.335
1899044460.1834588,1970575771.1144743,2071674879.5645149,2193695748.0,2318375544.0148673,2444890259.927053,2570501296.2442245,2694591368.833037,2818604753.4617414,2944637282.8523088,3073467859.828558,3205757629.1286616,3341802652.2171335,3481805428.7104273,3626640728.4945455
7584094859.997445,7755422828.276313,8107428455.219404,8579128473.0,9066727534.526276,9565115259.982779,10064335076.662817,10561472992.538988,11060371712.694242,11568073903.74854,12087249504.655298,12620232814.379723,13168068971.411102,13731421535.970064,14313661571.77749
1197482275.269269,1311299086.2390382,1467802259.0654237,1555979254.0,1644414113.8336644,1733166457.5829144,1820157621.3845942,1905156303.5155616,1989725969.975157,2075671252.7114408,2163628149.0061326,2254111611.4132466,2347339239.6538653,2443468517.2658362,2543115089.2028832
648839757682.7854,730383191977.7355,855768143787.6073,903000000000.0,954322457047.2319,1008681729836.702,1065746485783.8405,1125340364510.9365,1187273786237.2354,1251884573923.3835,1319361483336.4463,1389892944964.3394,1463583209601.4495,1540477336095.942,1620943718874.0098
8805718177864.947,8831855326097.568,8937371961555.188,9090000000000.0,9265457708043.06,9450192490304.488,9641703570255.855,9838054862842.893,10035858219220.633,10236646373390.37,10441064687036.857,10649677851634.258,10862405196971.984,11078682031575.865,11300255672207.385
77994328028.49805,73767620748.95645,73399798473.79207,77738021463.0,82156300828.9708,86630676491.05272,91062557200.26817,95431639445.80399,99793804621.01147,104226216338.06879,108757340366.61398,113411138327.27031,118198282898.18616,123126173876.24507,128225849274.8947
2193056357.106919,2353312133.4921517,2570858852.640954,2713917848.0,2868164727.49468,3030553689.212732,3199603331.07714,3374559026.165057,3554994804.5643363,3742007336.853943,3936108836.1547236,4137798182.2246785,4347298701.952953,4564667279.764857,4790911078.5760355
299795359744.727,304156095478.7697,315420613471.38354,333000000000.0,351926221701.8031,371829047718.3649,392516290081.28467,413891194644.55927,435905862159.25586,458697697523.2833,482329222510.3913,506861070609.7074,532319584915.16736,558710991151.4506,586157691388.0826
13124610926.371376,13470575793.000914,14078748401.687426,14909126061.0,15756493704.275122,16615647214.801098,17467852558.33725,18309031774.945183,19149359106.503593,20003300359.6176,20876216355.108868,21772642354.504856,22694605458.465225,23643500076.49854,24625275287.848244
3652370004.532371,5016730405.2205305,5777167697.954715,6190706381.0,6542558277.26899,6871310817.203917,7172736585.808224,7456117665.766891,7742233193.578985,8042750295.907063,8358019147.463032,8688278581.975609,9032612720.301754,9390839378.495855,9764621800.520243
273711299879.57327,280781805283.186,296458009383.779,313000000000.0,330789511689.6828,349481156400.7505,368887068533.4649,388913552378.9474,409518865562.7715,430834338856.07513,452918665088.7483,475828584539.89026,499588269311.7625,524203200477.19696,549787765808.2667
