year,Kstock,Investment,FixedInv,TrueDep,taxDep,FixedK
2014,8576.925699561076,1112.4263034490734,1033.5814229348919,480.3127380255735,850.9287347075858,6230.251665719654
2015,9236.373551579625,1099.443932915663,991.0381508591789,549.6290478193331,881.5445375441757,6803.655207702771
2016,9903.10675560958,920.9740157564847,892.7846968308155,604.0159851095834,858.3783517721154,7331.623111981656
2017,10394.598021285203,954.8865492476275,925.6592301115246,640.2656424694376,881.9585034677568,7750.529123709619
2018,10915.931250181035,994.8220436300243,964.3723725400771,676.6554607800201,868.4169749990252,8191.034326417156
2019,11458.08338047864,1030.8559648242442,999.3033617521694,713.4776650199668,862.6342895757838,8647.800659499795
2020,12014.095061098238,1066.4052799697427,1033.7645778144354,750.1005795841818,780.212936494297,9114.669063364077
2021,12581.505794109726,1106.5731874571377,1072.7030196107612,786.5197736604703,835.4849379393337,9589.728164271039
2022,13160.957203689932,1150.3064108744127,1115.09764958081,823.2919632531637,884.9607695228921,10074.475908129243
2023,13757.826493039991,1195.983003446255,1159.3761657537348,861.0316062248148,933.1423365365109,10573.68055341871
2024,14374.20031962368,1243.6326349307471,1205.5673297509509,899.9080116659912,984.3479174035368,11089.131473609668
2025,15011.99005891583,1293.0970666181058,1253.5177462582321,940.0656523682452,1032.9627331706554,11622.459467086715
2026,15671.93782073784,1344.598821693968,1303.4431274362137,981.5496327763858,1079.0478915207252,12174.331428312189
2027,16354.25297059835,1398.0736156824805,1355.2811564384865,1024.3900922016892,1123.1310732095787,12745.032062995851
