,earnings,sec199,nol,amt,pymtc,pymtc_acc,gbc
1998,1133.824507,0,,2.945304,3.030825,,5.133239
1999,1217.874585,0,,2.704971,3.136072,,4.253425
2000,1333.99849,0,,3.627142,4.910809,,5.000495
2001,1255.521941,0,,1.64931,3.097662,,6.143768
2002,1251.627989,0,,2.351617,1.872595,,7.758493
2003,1310.186458,0,,1.958882,3.204844,,8.652563
2004,1442.598977,0,,3.112718,3.558166,,9.592366
2005,1661.664266,8.901703,,2.935294,6.905383,,12.812027
2006,1773.944062,10.461529,,3.273191,5.668334,,13.991834
2007,1817.273545,19.950691,,2.882802,3.02273,,14.300416
2008,1727.002397,17.332219,,1.952062,1.823217,,10.678514
2009,1629.096543,13.358918,,2.883274,1.280877,,12.824924
2010,1781.916547,23.010924,,2.885235,1.39748,,14.811039
2011,1867.46881,25.857288,,3.013297,1.412206,,18.646675
2012,1902.150508,30.183679,,2.822103,2.66367,,21.276595
2013,2001.677036,32.013184,,3.452703,1.857905,26,24.666749
