0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
30108836121.40602,30339631358.247932,31317100204.954796,33211530576.0,35099124542.17895,36986527830.083496,38828799200.99319,40622829379.39873,42406014046.6952,44219075705.984436,46076016037.71417,47987988344.987236,49959541811.29697,51994012900.08499,54104410035.582306
24285086207.800186,24678222381.285576,25269949616.992096,26676130902.0,28192282156.04677,29788465033.514114,31450118269.86188,33169824350.00543,34943396253.63935,36781613573.057655,38689511045.87095,40671992350.994415,42731252653.37498,44867851091.66783,47091687453.29551
211627862131.07983,230397822006.84903,251667027890.57477,266000000000.0,281118243161.2001,296781168587.36206,312740870596.1477,328897279733.62463,345280160565.811,362046901020.3507,379258720002.06213,396971930944.8389,415209825593.45465,433982513900.71674,453388553187.26526
76428397578.3341,78027716915.8103,81452667416.97472,86239268421.0,91140720413.60408,96120910098.74612,101073402489.40887,105972855461.81671,110872629739.21274,115852983954.37419,120943878141.51164,126170882954.43275,131545475360.8063,137075424596.83426,142795068227.80286
145115727142.08594,148247358031.39023,154389559137.87314,163000000000.0,172264186598.7805,182001668434.2943,192116199794.9222,202559585410.3555,213309351719.56693,224433400801.10654,235962305941.2874,247925662900.8688,260336181526.40054,273196789707.83444,286567194554.52893
40303873800.42768,92372012853.92242,127744852901.87227,136000000000.0,143729628082.4181,151222526627.4881,158305820836.503,165051998510.99475,171758250502.1805,178653627081.84036,185791869491.56165,193210017127.7939,200913119653.59265,208907303162.1649,217237226110.79205
56429306189.80929,60121298510.77909,63951831813.82614,67646468506.0,71491189407.76756,75438070384.86053,79412936223.36102,83391293446.52963,87395552162.38893,91475988061.833,95651810718.03639,99940101683.48029,104348392472.9493,108881122503.53099,113564456981.41118
42527396091.99918,47303270968.778915,51379864465.811386,54399224281.0,57491031425.58955,60632505844.42857,63756508972.49783,66847055146.88218,69937803998.56696,73079382201.97644,76290688370.8202,79587852323.41609,82978113663.59785,86466373179.95494,90074290807.1027
503093927894.2039,520309073315.59064,548479120978.5774,579000000000.0,611907754850.8829,646552579823.7692,682618425631.0118,719944296615.1156,758439314351.254,798337447699.4974,839747974616.5051,882777328456.5863,927473154828.8041,973847589724.0391,1022115506016.4235
416517528000.75305,442193300165.1824,470887671842.96155,498000000000.0,526304079301.79565,555422008937.1677,584824933073.1323,614328851193.347,644071713335.2583,674405274234.5387,705464384008.4392,737369926720.0067,770174588065.9875,803907935646.8763,838760824719.8104
31144840056.782864,33897453472.50755,36147142901.56137,38393784819.0,40575914799.347496,42728428924.15921,44798865082.515076,46792921047.19356,48771478256.419334,50790309800.46228,52866351373.50231,55012282065.85475,57232243095.431725,59529474657.490906,61918104594.53221
