ebitda,year
1948.0921499848803,2014
2062.0379556719854,2015
2128.995392470603,2016
2234.9257256648616,2017
2298.51844872973,2018
2364.709001907878,2019
2386.804352802624,2020
2489.2857074998,2021
2597.8868924963645,2022
2712.1855429752823,2023
2832.102049014726,2024
2954.171751373418,2025
3078.974660305273,2026
3207.4593023491548,2027
