year,intpaid,debt
2014,129.66049988069835,1499.5318869082682
2015,136.5932378148291,1605.282386781882
2016,140.5934523594731,1708.5615041527176
2017,150.11204713165458,1768.0023784769896
2018,163.29422363349485,1832.5596777923465
2019,179.56888138858042,1900.1148471511246
2020,195.67161447222261,1969.860845746551
2021,210.37016112268248,2041.3974853155632
2022,223.60095529006406,2114.413935310421
2023,235.14771144081186,2189.503725320965
2024,245.62401361564628,2266.9124487289846
2025,255.58452350638254,2346.8658461704736
2026,265.3542974123705,2429.4287779929314
2027,275.12077579992365,2514.570920465984
